Subject,RT_mean.1.1,RT_mean.1.2,RT_mean.2.3,RT_mean.2.4,RT_mean.1,RT_mean.2
1,1.59500605417532,1.45365505289017,1.64983293199195,1.58362695856414,1.52363079610064,1.61771320230915
2,1.42743484975026,1.6004884310912,1.74288727866253,1.58560590871919,1.50950149657174,1.66270461947573
3,1.99722316791779,1.70468555706499,2.08556903862194,1.47592731253826,1.84660974450843,1.77778874972532
4,1.7883767521616,1.80151442052564,1.67584723593923,1.67368583243532,1.79488054838142,1.67476653418727
5,1.73572321688524,1.73093567081029,1.61530994079076,1.56685536956259,1.73332944384776,1.59084278106168
6,1.9764337781938,2.2143677257898,1.51680830764064,1.66740476201085,2.09414846805709,1.58982477036559
7,1.48692308528349,1.52521803890928,1.91713423600566,1.62903043991137,1.50644600281821,1.77308233795852
8,1.81265410985565,1.80574521006617,1.51147460045439,1.62293498563267,1.80923455339419,1.56609018919175
9,1.57444800906121,1.73034703179263,1.53583662427031,1.50164072760655,1.65480833005679,1.51856938932128
10,1.53930730704936,1.53933980453294,1.68508186107775,1.58223623964552,1.53932388739812,1.63365905036164
11,1.75681740842992,2.07539890585847,1.80511997529167,1.9960261607077,1.91775032981136,1.90352522550612
12,1.81154395316673,1.701537045686,1.70331889761236,1.93135931657162,1.75600648531238,1.81510341671003
13,1.71506234625921,1.7548147219361,1.59365801975274,1.4252283386793,1.73493853409765,1.51109445059909
14,1.54899736669967,1.68896239878172,1.76372362783429,1.65642969472809,1.62258722892838,1.71059750561666
15,2.48275825302018,2.43546617661166,2.02316731025465,1.86458561580198,2.45861958901999,1.94232174053368
16,1.71017610349764,1.55525236417937,1.69721794296884,1.6016352885704,1.63581270862487,1.64989060923758
17,1.26061120693463,1.36297777457046,1.62028712827596,1.49809657296111,1.31337747891186,1.55858694687935
18,2.03657445050196,1.93422645895428,1.61740134807,1.60193921106009,1.98489378150264,1.60974533848257
19,1.41899241855843,1.49071516339003,1.58191949604989,1.40732130017481,1.45415062680921,1.49375605060801
20,1.63762236749664,1.91073108558087,1.70314841854941,1.65619494197616,1.7701206564682,1.67989960976072
21,1.74282201226059,1.53197637897478,1.28506373378503,1.14908608590143,1.63529073928483,1.21707490984323
22,1.30418401023286,1.40397116637148,1.53009750334426,1.51359920039753,1.35407758830217,1.52160332756971
23,1.83716780724694,1.96709378267959,1.77075474125206,1.82459415959859,1.90413995953181,1.79821284460879
24,2.76233027299866,2.42846938590305,1.70780410909804,1.64621378483186,2.5970859955473,1.67730792912158
25,1.39811726965754,1.4814064130304,1.85123996036247,1.62326302501018,1.43976184134397,1.73614480853413
26,1.60107150981843,1.48215666446777,1.78419211560742,1.96422854509224,1.54044825532593,1.87153652199114
27,1.31185128487879,1.35992461174959,2.10543445826111,2.01513361993085,1.33588794831419,2.05984568551185
28,.937496866210245,.861701702388624,1.85523528001578,1.60475572592387,.899599284299435,1.7248836753353
